year,regime_mode,head_of_state,how_selected,elections_held,notes,source,vdem_regime,vdem_regime_source,reviewed_by
1850,dictatorship,Juan Manuel de Rosas (2do gobierno),congress,False,"Rosas gobierna Buenos Aires (con la suma del poder público desde 1835) y ejerce de facto las relaciones exteriores de la Confederación; simplificación que incluye los interinatos de 1832-1835, alineados con Rosas.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,derived:e_boix_regime+e_p_polity,opus
1851,dictatorship,Juan Manuel de Rosas (2do gobierno),congress,False,"Rosas gobierna Buenos Aires (con la suma del poder público desde 1835) y ejerce de facto las relaciones exteriores de la Confederación; simplificación que incluye los interinatos de 1832-1835, alineados con Rosas.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,derived:e_boix_regime+e_p_polity,opus
1852,civil_war_or_state_building,Justo José de Urquiza (Director provisorio / Confederación),coup,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,derived:e_boix_regime+e_p_polity,opus
1853,civil_war_or_state_building,Justo José de Urquiza (Director provisorio / Confederación),coup,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1854,civil_war_or_state_building,Justo José de Urquiza,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1855,civil_war_or_state_building,Justo José de Urquiza,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1856,civil_war_or_state_building,Justo José de Urquiza,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1857,civil_war_or_state_building,Justo José de Urquiza,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1858,civil_war_or_state_building,Justo José de Urquiza,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1859,civil_war_or_state_building,Justo José de Urquiza,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1860,civil_war_or_state_building,Santiago Derqui,election,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1861,civil_war_or_state_building,Juan Esteban Pedernera / Bartolomé Mitre (gobernador de Bs.As.),succession,False,"Caída de Rosas (Caseros, feb. 1852); país escindido (Confederación vs. Estado de Buenos Aires); guerras de Cepeda (1859) y Pavón (1861).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1862,restricted_democracy,Bartolomé Mitre,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1863,restricted_democracy,Bartolomé Mitre,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1864,restricted_democracy,Bartolomé Mitre,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1865,restricted_democracy,Bartolomé Mitre,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1866,restricted_democracy,Bartolomé Mitre,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1867,restricted_democracy,Bartolomé Mitre,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1868,restricted_democracy,Domingo Faustino Sarmiento,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1869,restricted_democracy,Domingo Faustino Sarmiento,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1870,restricted_democracy,Domingo Faustino Sarmiento,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1871,restricted_democracy,Domingo Faustino Sarmiento,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1872,restricted_democracy,Domingo Faustino Sarmiento,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1873,restricted_democracy,Domingo Faustino Sarmiento,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1874,restricted_democracy,Nicolás Avellaneda,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1875,restricted_democracy,Nicolás Avellaneda,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1876,restricted_democracy,Nicolás Avellaneda,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1877,restricted_democracy,Nicolás Avellaneda,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1878,restricted_democracy,Nicolás Avellaneda,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1879,restricted_democracy,Nicolás Avellaneda,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1880,restricted_democracy,Julio Argentino Roca (1er mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1881,restricted_democracy,Julio Argentino Roca (1er mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1882,restricted_democracy,Julio Argentino Roca (1er mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1883,restricted_democracy,Julio Argentino Roca (1er mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1884,restricted_democracy,Julio Argentino Roca (1er mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1885,restricted_democracy,Julio Argentino Roca (1er mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1886,restricted_democracy,Miguel Juárez Celman,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1887,restricted_democracy,Miguel Juárez Celman,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1888,restricted_democracy,Miguel Juárez Celman,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1889,restricted_democracy,Miguel Juárez Celman,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1890,restricted_democracy,Carlos Pellegrini,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1891,restricted_democracy,Carlos Pellegrini,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1892,restricted_democracy,Luis Sáenz Peña,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1893,restricted_democracy,Luis Sáenz Peña,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1894,restricted_democracy,Luis Sáenz Peña,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1895,restricted_democracy,José Evaristo Uriburu,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1896,restricted_democracy,José Evaristo Uriburu,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1897,restricted_democracy,José Evaristo Uriburu,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1898,restricted_democracy,Julio Argentino Roca (2do mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1899,restricted_democracy,Julio Argentino Roca (2do mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,derived:e_boix_regime+e_p_polity,opus
1900,restricted_democracy,Julio Argentino Roca (2do mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1901,restricted_democracy,Julio Argentino Roca (2do mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1902,restricted_democracy,Julio Argentino Roca (2do mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1903,restricted_democracy,Julio Argentino Roca (2do mandato),election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1904,restricted_democracy,Manuel Quintana,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1905,restricted_democracy,Manuel Quintana,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1906,restricted_democracy,José Figueroa Alcorta,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1907,restricted_democracy,José Figueroa Alcorta,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1908,restricted_democracy,José Figueroa Alcorta,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1909,restricted_democracy,José Figueroa Alcorta,succession,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1910,restricted_democracy,Roque Sáenz Peña,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
