date,date_precision,kind,title,actor,notes,source,confidence
1820-02-11,day,presidency_end,Cesa José Rondeau,Director Supremo,Modo de salida: coup. Cae tras la batalla de Cepeda (feb. 1820) y la disolución del poder central: 'Anarquía del Año XX'.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1820-02-11,year,presidency_start,Asume (sin autoridad nacional — autonomías provinciales),Gobernadores provinciales,Modo de acceso: other. Sin poder ejecutivo nacional entre 1820 y 1826; Buenos Aires bajo Martín Rodríguez (1821-1824) concentra de facto las relaciones exteriores.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1824-05-08,year,presidency_end,Cesa (sin autoridad nacional — autonomías provinciales),Gobernadores provinciales,Modo de salida: other. Sin poder ejecutivo nacional entre 1820 y 1826; Buenos Aires bajo Martín Rodríguez (1821-1824) concentra de facto las relaciones exteriores.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1826-02-08,day,presidency_start,Asume Bernardino Rivadavia,Presidente (Congreso de 1826),"Modo de acceso: congress. Primer presidente de las Provincias Unidas, bajo la Constitución unitaria de 1826 (no ratificada por las provincias).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1827-06-27,day,presidency_end,Cesa Bernardino Rivadavia,Presidente (Congreso de 1826),"Modo de salida: resignation. Primer presidente de las Provincias Unidas, bajo la Constitución unitaria de 1826 (no ratificada por las provincias).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1827-06-27,day,presidency_start,Asume Vicente López y Planes / Manuel Dorrego / guerra civil,Gobernadores de Buenos Aires,Modo de acceso: congress. Renuncia de Rivadavia y disolución del poder nacional; Dorrego gobernador de Bs.As. hasta su fusilamiento por Lavalle (dic. 1828); guerra civil hasta el Pacto de Cañuelas/Barracas 1829.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1829-12-06,day,presidency_end,Cesa Vicente López y Planes / Manuel Dorrego / guerra civil,Gobernadores de Buenos Aires,Modo de salida: coup. Renuncia de Rivadavia y disolución del poder nacional; Dorrego gobernador de Bs.As. hasta su fusilamiento por Lavalle (dic. 1828); guerra civil hasta el Pacto de Cañuelas/Barracas 1829.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1829-12-08,day,presidency_start,Asume Juan Manuel de Rosas (1er gobierno),Gobernador de Buenos Aires,Modo de acceso: congress. Gobernador de Buenos Aires con la suma del poder público; ejerce de facto las relaciones exteriores de la Confederación.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1832-12-17,day,presidency_end,Cesa Juan Manuel de Rosas (1er gobierno),Gobernador de Buenos Aires,Modo de salida: resignation. Gobernador de Buenos Aires con la suma del poder público; ejerce de facto las relaciones exteriores de la Confederación.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1832-12-17,day,presidency_start,Asume Juan Ramón Balcarce / Juan José Viamonte / interinatos,Gobernadores de Buenos Aires,Modo de acceso: congress. Interinatos entre los dos gobiernos de Rosas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",low
1835-03-13,day,presidency_end,Cesa Juan Ramón Balcarce / Juan José Viamonte / interinatos,Gobernadores de Buenos Aires,Modo de salida: congress. Interinatos entre los dos gobiernos de Rosas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",low
1835-03-13,day,presidency_start,Asume Juan Manuel de Rosas (2do gobierno),Gobernador de Buenos Aires / Encargado de RR.EE.,Modo de acceso: congress. Gobierna con la suma del poder público (plebiscito 1835); cae derrotado en la batalla de Caseros (3-feb-1852) frente a Urquiza.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1852-02-03,day,presidency_end,Cesa Juan Manuel de Rosas (2do gobierno),Gobernador de Buenos Aires / Encargado de RR.EE.,Modo de salida: war. Gobierna con la suma del poder público (plebiscito 1835); cae derrotado en la batalla de Caseros (3-feb-1852) frente a Urquiza.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1852-02-03,day,presidency_start,Asume Justo José de Urquiza (Director provisorio / Confederación),Director provisorio,"Modo de acceso: coup. Director provisorio de la Confederación tras Caseros; Buenos Aires se separa (Estado de Buenos Aires, 1852-1861).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1853-05-01,day,constitutional_reform,Sanción de la Constitución Nacional de 1853,Congreso Constituyente (Santa Fe),Constitución liberal-federal inspirada en Alberdi; Buenos Aires no la ratifica hasta 1860.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1854-03-05,day,presidency_end,Cesa Justo José de Urquiza (Director provisorio / Confederación),Director provisorio,"Modo de salida: election_presidential. Director provisorio de la Confederación tras Caseros; Buenos Aires se separa (Estado de Buenos Aires, 1852-1861).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1854-03-05,day,presidency_start,Asume Justo José de Urquiza,Presidente de la Confederación Argentina,Modo de acceso: election_presidential. Primer presidente bajo la Constitución de 1853; capital en Paraná. Buenos Aires separada del resto del país.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1860-03-05,day,presidency_end,Cesa Justo José de Urquiza,Presidente de la Confederación Argentina,Modo de salida: term_end. Primer presidente bajo la Constitución de 1853; capital en Paraná. Buenos Aires separada del resto del país.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1860-03-05,day,presidency_start,Asume Santiago Derqui,Presidente de la Confederación Argentina,Modo de acceso: election_presidential. Renuncia tras la derrota de la Confederación en Pavón (sep. 1861) frente a Buenos Aires (Mitre).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1860-09-21,day,constitutional_reform,Reforma constitucional de 1860,Convención reformadora (Buenos Aires),"Incorpora a Buenos Aires a la Confederación con reformas (art. 1, ausencia de revisión federal de constituciones provinciales, etc.).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1861-11-05,day,presidency_end,Cesa Santiago Derqui,Presidente de la Confederación Argentina,Modo de salida: resignation. Renuncia tras la derrota de la Confederación en Pavón (sep. 1861) frente a Buenos Aires (Mitre).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1861-11-05,day,presidency_start,Asume Juan Esteban Pedernera / Bartolomé Mitre (gobernador de Bs.As.),Vicepresidente / Gobernador,Modo de acceso: succession. Vacancia presidencial de la Confederación; Mitre reunifica el país como gobernador de Buenos Aires a cargo del P.E. nacional.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1862-10-12,day,presidency_end,Cesa Juan Esteban Pedernera / Bartolomé Mitre (gobernador de Bs.As.),Vicepresidente / Gobernador,Modo de salida: election_presidential. Vacancia presidencial de la Confederación; Mitre reunifica el país como gobernador de Buenos Aires a cargo del P.E. nacional.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1862-10-12,day,presidency_start,Asume Bartolomé Mitre,Presidente (Nacionalista/Liberal),Modo de acceso: election_presidential. Primer presidente de la República Argentina unificada.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1868-10-12,day,presidency_end,Cesa Bartolomé Mitre,Presidente (Nacionalista/Liberal),Modo de salida: term_end. Primer presidente de la República Argentina unificada.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1868-10-12,day,presidency_start,Asume Domingo Faustino Sarmiento,Presidente (Autonomista Nacional),Modo de acceso: election_presidential. Guerra del Paraguay concluye en 1870.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1874-10-12,day,presidency_end,Cesa Domingo Faustino Sarmiento,Presidente (Autonomista Nacional),Modo de salida: term_end. Guerra del Paraguay concluye en 1870.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1874-10-12,day,presidency_start,Asume Nicolás Avellaneda,Presidente (PAN),Modo de acceso: election_presidential. Sofoca la revolución mitrista de 1874; federalización de Buenos Aires en 1880.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1880-10-12,day,presidency_end,Cesa Nicolás Avellaneda,Presidente (PAN),Modo de salida: term_end. Sofoca la revolución mitrista de 1874; federalización de Buenos Aires en 1880.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1880-10-12,day,presidency_start,Asume Julio Argentino Roca (1er mandato),Presidente (PAN),Modo de acceso: election_presidential. Consolidación del Estado nacional; Conquista del Desierto (1878-1885).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1886-10-12,day,presidency_end,Cesa Julio Argentino Roca (1er mandato),Presidente (PAN),Modo de salida: term_end. Consolidación del Estado nacional; Conquista del Desierto (1878-1885).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1886-10-12,day,presidency_start,Asume Miguel Juárez Celman,Presidente (PAN),"Modo de acceso: election_presidential. Renuncia tras la Revolución del Parque (jul. 1890) en medio de la crisis financiera (default de 1890, crisis Baring).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1890-01-01,year,default,Cesación de pagos / crisis Baring de 1890,Gobierno de Miguel Juárez Celman,Crisis de balanza de pagos y de la casa Baring Brothers; detona la Revolución del Parque y la renuncia presidencial.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1890-08-06,day,presidency_end,Cesa Miguel Juárez Celman,Presidente (PAN),"Modo de salida: resignation. Renuncia tras la Revolución del Parque (jul. 1890) en medio de la crisis financiera (default de 1890, crisis Baring).","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1890-08-06,day,presidency_start,Asume Carlos Pellegrini,"Presidente (PAN, ex vicepresidente)",Modo de acceso: succession. Asume por acefalía; gestiona la crisis del 90 y crea el Banco de la Nación Argentina.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1892-10-12,day,presidency_end,Cesa Carlos Pellegrini,"Presidente (PAN, ex vicepresidente)",Modo de salida: term_end. Asume por acefalía; gestiona la crisis del 90 y crea el Banco de la Nación Argentina.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1892-10-12,day,presidency_start,Asume Luis Sáenz Peña,Presidente (PAN),Modo de acceso: election_presidential. Renuncia por presiones políticas y revueltas radicales/cívicas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1895-01-23,day,presidency_end,Cesa Luis Sáenz Peña,Presidente (PAN),Modo de salida: resignation. Renuncia por presiones políticas y revueltas radicales/cívicas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1895-01-23,day,presidency_start,Asume José Evaristo Uriburu,"Presidente (PAN, ex vicepresidente)",Modo de acceso: succession. Asume por acefalía.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1898-10-12,day,presidency_end,Cesa José Evaristo Uriburu,"Presidente (PAN, ex vicepresidente)",Modo de salida: term_end. Asume por acefalía.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1898-10-12,day,presidency_start,Asume Julio Argentino Roca (2do mandato),Presidente (PAN),"Modo de acceso: election_presidential. Régimen conservador, sufragio restringido y fraude ('unicato').","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1904-10-12,day,presidency_end,Cesa Julio Argentino Roca (2do mandato),Presidente (PAN),"Modo de salida: term_end. Régimen conservador, sufragio restringido y fraude ('unicato').","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1904-10-12,day,presidency_start,Asume Manuel Quintana,Presidente (PAN),Modo de acceso: election_presidential. Muere en el cargo.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1906-03-12,day,presidency_end,Cesa Manuel Quintana,Presidente (PAN),Modo de salida: death. Muere en el cargo.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1906-03-12,day,presidency_start,Asume José Figueroa Alcorta,"Presidente (PAN, ex vicepresidente)",Modo de acceso: succession. Asume por fallecimiento de Quintana.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1910-10-12,day,presidency_end,Cesa José Figueroa Alcorta,"Presidente (PAN, ex vicepresidente)",Modo de salida: term_end. Asume por fallecimiento de Quintana.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1910-10-12,day,presidency_start,Asume Roque Sáenz Peña,Presidente (PAN),"Modo de acceso: election_presidential. Impulsa la Ley Sáenz Peña (1912) de sufragio universal masculino, secreto y obligatorio; muere en el cargo.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1914-08-09,day,presidency_end,Cesa Roque Sáenz Peña,Presidente (PAN),"Modo de salida: death. Impulsa la Ley Sáenz Peña (1912) de sufragio universal masculino, secreto y obligatorio; muere en el cargo.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1914-08-09,day,presidency_start,Asume Victorino de la Plaza,"Presidente (PAN, ex vicepresidente)",Modo de acceso: succession. Asume por fallecimiento de Sáenz Peña.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1916-04-02,day,election_presidential,Elección presidencial de 1916,Hipólito Yrigoyen (UCR),"Primera elección presidencial con la Ley Sáenz Peña (voto secreto y obligatorio masculino). Top 3 (aprox., fuente secundaria): Hipólito Yrigoyen (UCR) 45.2%; Ángel Rojas (PDP/Concentración de partidos) 23.6%; Estanislao Zeballos / conservadores nd%.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1916-10-12,day,presidency_end,Cesa Victorino de la Plaza,"Presidente (PAN, ex vicepresidente)",Modo de salida: term_end. Asume por fallecimiento de Sáenz Peña.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1916-10-12,day,presidency_start,Asume Hipólito Yrigoyen (1er mandato),Presidente (UCR),Modo de acceso: election_presidential. Primer presidente electo bajo la Ley Sáenz Peña.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1922-04-02,day,election_presidential,Elección presidencial de 1922,Marcelo T. de Alvear (UCR),"Segunda elección bajo la Ley Sáenz Peña; triunfo radical. Top 3 (aprox., fuente secundaria): Marcelo T. de Alvear (UCR) 47.7%; Norberto Piñero (Concentración Nacional) nd%; José Camilo Crotto (UCR desl./otros) nd%.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1922-10-12,day,presidency_end,Cesa Hipólito Yrigoyen (1er mandato),Presidente (UCR),Modo de salida: term_end. Primer presidente electo bajo la Ley Sáenz Peña.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1922-10-12,day,presidency_start,Asume Marcelo T. de Alvear,Presidente (UCR),Modo de acceso: election_presidential. Presidencia marcada por la división del radicalismo (personalistas/antipersonalistas).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1928-04-01,day,election_presidential,Elección presidencial de 1928,Hipólito Yrigoyen (UCR),"Amplio triunfo de Yrigoyen en su segundo mandato, derrocado en 1930. Top 3 (aprox., fuente secundaria): Hipólito Yrigoyen (UCR) 57.4%; Leopoldo Melo (UCR Antipersonalista/Concentración) 30.8%; otros nd%.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1928-10-12,day,presidency_end,Cesa Marcelo T. de Alvear,Presidente (UCR),Modo de salida: term_end. Presidencia marcada por la división del radicalismo (personalistas/antipersonalistas).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1928-10-12,day,presidency_start,Asume Hipólito Yrigoyen (2do mandato),Presidente (UCR),Modo de acceso: election_presidential. Depuesto por el golpe militar del 6 de septiembre de 1930.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1930-09-06,day,presidency_end,Cesa Hipólito Yrigoyen (2do mandato),Presidente (UCR),Modo de salida: coup. Depuesto por el golpe militar del 6 de septiembre de 1930.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1930-09-06,day,presidency_start,Asume José Félix Uriburu,Presidente de facto,Modo de acceso: coup. Primer gobierno de facto del siglo XX en Argentina.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1930-09-06,day,coup,Golpe de Estado del 6 de septiembre de 1930,José Félix Uriburu,Primer golpe militar del siglo XX; derroca a Hipólito Yrigoyen.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1931-11-08,day,election_presidential,Elección presidencial de 1931 (fraudulenta),Agustín P. Justo (Concordancia),"El radicalismo (yrigoyenista) es proscripto; primera elección de la 'Década Infame'. Top 3 (aprox., fuente secundaria): Agustín P. Justo (Concordancia) 41.4%; Lisandro de la Torre / Nicolás Repetto (Alianza Demócrata Socialista) 20.6%; otros nd%.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1932-02-20,day,presidency_end,Cesa José Félix Uriburu,Presidente de facto,Modo de salida: election_presidential. Primer gobierno de facto del siglo XX en Argentina.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1932-02-20,day,presidency_start,Asume Agustín Pedro Justo,Presidente (Concordancia),Modo de acceso: election_presidential. 'Década Infame': fraude electoral generalizado ('fraude patriótico').,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1937-09-05,day,election_presidential,Elección presidencial de 1937 (fraude patriótico),Roberto M. Ortiz (Concordancia),"Elección marcada por fraude generalizado ('fraude patriótico'). Top 3 (aprox., fuente secundaria): Roberto M. Ortiz (Concordancia) 55.7%; Marcelo T. de Alvear (UCR) 43.0%; otros nd%.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1938-02-20,day,presidency_end,Cesa Agustín Pedro Justo,Presidente (Concordancia),Modo de salida: term_end. 'Década Infame': fraude electoral generalizado ('fraude patriótico').,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1938-02-20,day,presidency_start,Asume Roberto Marcelino Ortiz,Presidente (Concordancia/UCR antipersonalista),"Modo de acceso: election_presidential. Enfermo (diabetes), delega el mando en 1940 y renuncia en 1942; muere jul. 1942.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1940-07-03,day,presidency_start,Asume Ramón S. Castillo (delegación/interino),Vicepresidente en ejercicio,Modo de acceso: succession. Ejerce por delegación desde 1940 y asume plenamente al renunciar Ortiz.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1942-06-27,day,presidency_end,Cesa Roberto Marcelino Ortiz,Presidente (Concordancia/UCR antipersonalista),"Modo de salida: resignation. Enfermo (diabetes), delega el mando en 1940 y renuncia en 1942; muere jul. 1942.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1942-06-27,day,presidency_end,Cesa Ramón S. Castillo (delegación/interino),Vicepresidente en ejercicio,Modo de salida: succession. Ejerce por delegación desde 1940 y asume plenamente al renunciar Ortiz.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1942-06-27,day,presidency_start,Asume Ramón S. Castillo,Presidente (Concordancia),Modo de acceso: succession. Depuesto por el golpe del GOU el 4 de junio de 1943.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1943-06-04,day,presidency_end,Cesa Ramón S. Castillo,Presidente (Concordancia),Modo de salida: coup. Depuesto por el golpe del GOU el 4 de junio de 1943.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1943-06-04,day,presidency_start,Asume Arturo Rawson,Presidente de facto,Modo de acceso: coup. Dura solo dos días; reemplazado dentro de la propia cúpula militar.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1943-06-04,day,coup,Golpe de Estado del 4 de junio de 1943 (GOU),Grupo de Oficiales Unidos,Derroca a Ramón S. Castillo; de este proceso surge Perón como figura política.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1943-06-07,day,presidency_end,Cesa Arturo Rawson,Presidente de facto,Modo de salida: coup. Dura solo dos días; reemplazado dentro de la propia cúpula militar.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1943-06-07,day,presidency_start,Asume Pedro Pablo Ramírez,Presidente de facto,Modo de acceso: coup. Renuncia presionado por el GOU tras romper relaciones con el Eje y presiones internas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1944-02-24,day,presidency_end,Cesa Pedro Pablo Ramírez,Presidente de facto,Modo de salida: resignation. Renuncia presionado por el GOU tras romper relaciones con el Eje y presiones internas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1944-02-24,day,presidency_start,Asume Edelmiro Julián Farrell,Presidente de facto,"Modo de acceso: succession. Bajo su gobierno, Perón ocupa la Secretaría de Trabajo y luego la vicepresidencia.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1946-02-24,day,election_presidential,Elección presidencial de 1946,Perón - Quijano (Laborista-Unión Civica Radical Junta Renovadora Y Aliados),Padron: 3.405.173. Votos totales: 2.839.487. Participacion: 83.39%. Top 3 (sobre votos validos): Perón - Quijano (Laborista-Unión Civica Radical Junta Renovadora Y Aliados) 52.84% (votos validos); Tamborini - Mosca 	(Alianza Unión Democrática) 42.87% (votos validos); Demócrata Nacional 1.54% (votos validos).,"PoliticaArgentina/data_warehouse (GitHub, electorAr/data/escrutinios_definitivos), descargado el 2026-09-15: https://github.com/PoliticaArgentina/data_warehouse",high
1946-06-04,day,presidency_end,Cesa Edelmiro Julián Farrell,Presidente de facto,"Modo de salida: election_presidential. Bajo su gobierno, Perón ocupa la Secretaría de Trabajo y luego la vicepresidencia.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1946-06-04,day,presidency_start,Asume Juan Domingo Perón (1er mandato),Presidente (Partido Peronista),Modo de acceso: election_presidential. Elegido en feb. 1946; primer gobierno peronista.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
