id,name,region,population_2022,main_sector,dependence_on_transfers,dependence_reasoning,source,confidence
santiago_del_estero,Santiago del Estero,NOA,1004079,"agroindustria (soja, algodón, ganadería) y sector público",0.8,Uno de los perfiles fiscales más dependientes del país; escasa recaudación propia.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
tucuman,Tucumán,NOA,1703186,"agroindustria (azúcar, limón)",0.65,Provincia densamente poblada con estructura tributaria propia moderada pero insuficiente para el gasto social.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
chaco,Chaco,NEA,1142963,"agroindustria (algodón, soja, ganadería)",0.8,Uno de los indicadores socioeconómicos más rezagados del país; alta dependencia de transferencias nacionales.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
corrientes,Corrientes,NEA,1212696,"agroindustria (arroz, cítricos, ganadería, forestal)",0.7,Recaudación propia baja en relación al gasto provincial.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
formosa,Formosa,NEA,606041,sector público y agroindustria de subsistencia,0.85,Uno de los perfiles fiscales de mayor dependencia relativa de la coparticipación federal del país.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
misiones,Misiones,NEA,1280960,"agroindustria (yerba mate, té, forestal) y turismo",0.6,Recaudación propia parcialmente compensada por regalías e ingresos turísticos (Cataratas).,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
mendoza,Mendoza,Cuyo,2014533,agroindustria (vitivinicultura) y petróleo,0.45,"Base tributaria diversificada (vino, petróleo, turismo) reduce la dependencia relativa.","general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
san_juan,San Juan,Cuyo,818234,agroindustria (vitivinicultura) y minería metalífera,0.6,"Minería en expansión (oro, cobre) pero aún con alta dependencia de transferencias para el gasto corriente.","general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
san_luis,San Luis,Cuyo,540905,industria promovida y agroindustria,0.55,Regímenes de promoción industrial y recaudación propia moderada.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
chubut,Chubut,Patagonia,603120,"petróleo, pesca y aluminio",0.35,Regalías hidrocarburíferas dan una base de recursos propios relativamente alta pese a la volatilidad del precio del crudo.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
neuquen,Neuquén,Patagonia,726590,petróleo y gas (Vaca Muerta),0.25,Regalías de Vaca Muerta la ubican entre las provincias con menor dependencia relativa de la coparticipación.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
rio_negro,Río Negro,Patagonia,762067,"fruticultura (peras y manzanas), energía y turismo",0.55,Base tributaria diversificada pero moderada en relación al gasto provincial.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
santa_cruz,Santa Cruz,Patagonia,333473,"petróleo, minería metalífera y pesca",0.4,Regalías hidrocarburíferas y mineras relevantes; población baja concentra alto gasto público per cápita.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
tierra_del_fuego,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,190641,industria electrónica promovida (régimen de promoción fiscal) y petróleo,0.45,Régimen de promoción industrial genera actividad pero con fuerte componente de incentivos fiscales nacionales.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
